Gene	Hyb15	Hyb16	Hyb17	Hyb18	Hyb19	Hyb20	Hyb21	Hyb23	Hyb26	Hyb27	Hyb28	Hyb30	Hyb31	Hyb38	Hyb39	Hyb40	Hyb45	Hyb46	Hyb49	Hyb57	Hyb59	Hyb68	Hyb69	Hyb78	Hyb79	Hyb80	Hyb81	Hyb82
DDR1	10.604242155782476	10.754781324914775	10.724526969625996	10.590563863059366	10.159301351321224	10.303896411372254	10.694459858829983	10.58833869037071	10.25630825691169	10.289656061162432	10.224625808234189	10.26467996518876	10.330337587321615	10.872190411992412	10.761609887069074	10.110393636796555	10.87095461389056	10.88836546557728	10.22191182602731	10.512220605727885	9.926336084421154	10.429507695549772	10.522125064794349	10.977521265372228	10.820700716949112	10.253267685052815	10.60440331000152	10.50222009951898
RFC2	6.885017132131836	6.5420065569884995	6.823379867539043	7.220949968710048	6.934976867263499	6.9333792813208035	7.266314154368615	6.821656049982909	6.9945729129338075	6.742241747215596	6.964647539568598	6.731643459436	7.057381526774893	7.07566032896485	7.013387555235761	6.640038471440837	6.701921063122231	6.859527821183121	7.470821727444206	6.933520561539863	6.645319950396651	7.09302929339268	7.277289747952421	7.156820018467471	6.942545019894915	6.855035190052341	6.809773785351416	7.437013469617633
PAX8	7.475271864735934	7.660438006037537	7.83473781097132	7.462496318790468	7.478514182984692	7.291113855291342	7.420042164002392	7.48799745145439	7.545954167953774	7.476667314822497	7.514691705774258	7.454527337289985	7.334488851835927	7.589983343218889	7.386225612896248	7.459008094731319	7.211753341920671	7.231237736519628	7.203001564483641	7.843775931677555	7.633138514245037	7.474548994657681	7.430445107774864	7.567678044798368	7.280637321376505	7.401269939445888	7.476257382479033	7.466011226557609
UBA7	7.930800421915489	8.009548402784302	7.793384785060544	8.03965534774267	7.956463916955697	8.015377781835856	8.366083750846542	8.381466520700663	7.976961353463034	8.000181380547382	8.148455683202886	8.012954897515662	7.715895215063941	8.051493108598166	8.096845299451534	8.221291782624979	8.20006623584106	8.08714301888543	7.890030311181082	7.592392279169839	7.861838978865865	7.904272730665528	7.819407704692801	8.064583933343934	8.009937154323861	8.361680858644956	8.142653931135953	8.042388325189512
THRA	6.875185851261421	6.784068042595406	6.710715854687367	6.126117029277962	6.68345983621974	6.064808954558391	6.246482595612583	6.748834648128511	6.239432938185463	6.50832827084823	6.37745081231906	6.554323424126536	6.481900936364934	6.477818597749117	6.428269077273638	7.018558952145403	6.725393046881811	6.885993876260276	6.152321213111383	6.343647330784274	6.422458293565699	6.55303318109417	6.110770185404105	6.476496599288534	6.523405355125385	6.519471269065624	6.565309376795859	6.2965508160413375
CCL5	8.341802538841252	9.096599665997468	8.450671661323993	9.887866834301436	9.574769042012882	9.892801739188078	10.504740052939376	10.61988374124432	10.211169147843975	10.079800257514924	10.214132210409304	9.229612283747583	8.896289912495027	9.735603336822104	10.06242293712432	10.196183768757884	10.002525121191525	10.544556889408325	10.414363940229515	9.36567342607438	9.305624649872849	8.597086452440628	8.327318425545451	9.391055537688302	9.936521283496017	10.6434711496858	9.645385026724355	8.301210020083257
ESRRA	7.712184222434874	7.7275910493658335	7.849147684561124	8.16540393246005	7.876176915184635	8.214290205859186	8.209266983744536	7.844553093941027	7.885958303077837	7.882282754143331	7.717901927921206	7.660360358536944	7.886927363082804	7.882106596494673	8.004990198320641	7.692035962778312	8.25044601916922	7.854239288253628	7.947995538423367	7.935515890558102	7.660304537959688	7.943928642895973	8.164035829999046	8.140952294403466	7.943736236105317	7.9432882302460275	7.950479815339455	8.092325781811605
CYP2A6	6.516197222092565	6.692965611773764	6.4911531591424225	5.894460126531614	5.901676376115871	5.860923344661585	5.905786108629247	5.924792952882793	5.863331882558079	6.05903137633436	5.756967906400229	6.275675158432039	6.119064539213522	6.050226918251033	6.182267385577299	5.927629914669804	6.014479199474909	6.116062514402178	5.838586195941733	6.112149052353034	5.807854977733003	6.498333378140138	6.305982551818409	6.06502657121694	6.401516117221531	6.16119301352393	6.295714946611033	6.147401837493685
SCARB1	7.180158852431051	7.329644235697491	7.102733928279872	6.512276873713246	6.721265509473257	6.187493656673626	6.738624263185118	6.888680852405339	6.521026613658329	6.648061340132429	6.536766938273283	6.869597482612537	6.324928017492169	7.0999582739429155	6.868094333247804	6.889669407385024	6.993864302821887	6.760806452634258	6.499525662520222	6.4451530761175135	6.522486992013779	6.482454236413139	6.298435503825519	6.913364398360352	6.529505777486695	7.130176660413192	7.141047154073497	6.374383478263281
TTLL12	8.186020483557156	8.178055059816757	8.391412449044552	8.4400266876303	7.727662696799849	8.169654020477893	8.854032444927439	8.106768674797841	8.152234924050664	7.851318290634976	7.98105739048126	7.405902522328736	7.950562810153185	7.852990591681378	8.00814945525632	7.548705246427097	8.010312044959079	7.882179226768897	8.085016066461788	8.524883497237274	7.688358529905246	8.04422915385703	8.446456462954613	8.763718432484563	7.870740436846628	7.73090462358933	7.930486169313694	8.414833337754775
