Gene	GSM104075	GSM470856	GSM470861	GSM470869	GSM470870	GSM470871	GSM470872	GSM470873	GSM470874	GSM470875	GSM470876	GSM470879	GSM470886	GSM470887	GSM470889	GSM470891	GSM470893	GSM470894	GSM470896
DDR1	11.115724197611517	10.696855411359603	11.30290579570388	11.113612777042045	11.19681947924176	11.249238684604666	11.071366954685889	10.918552279734676	10.833241911496591	11.109788333519385	10.789207451730361	11.393839243073336	11.430632796131608	11.23340660662451	11.353671547537983	11.139838493105191	10.733723062735878	11.184153157701411	11.263706848850742
RFC2	5.821304660572649	5.639804463230162	5.753257915276258	5.792135316302728	5.804930512592925	5.7292176000736355	5.7703337371098655	5.783827672107304	5.671106010253948	5.735247115837619	5.778996745147233	5.714892828545611	5.76829261827315	5.799531925889473	5.976602753206108	5.438828597418762	5.7196607675398505	5.6646194458968315	5.876961220883558
PAX8	8.896524144976517	9.054092847785531	8.861223654448912	8.947029590991713	8.995825834830889	9.125851963610453	8.776830987002324	8.695114736914656	9.077260437214466	8.824662415762802	8.933890345452332	8.863115502389917	8.988750128509157	8.95719865930784	9.197934002987292	9.0189115921764	9.063458796685158	8.964397932713325	8.957202222858463
UBA7	8.306064826735154	8.25025614177953	7.735030259638152	7.958000614798481	8.067163628830308	7.7111878704588435	7.838976645311771	8.034383738478832	7.760477472628752	8.049300027623044	8.704798943933444	7.798401299415411	8.127219102771807	8.164191232017055	8.107948336626599	8.060645151897496	8.201535493933916	8.479118231387993	8.174398972384076
THRA	4.846882172353686	5.178161209197963	4.994158687271478	5.444881817316314	5.119642687378702	5.190395005497	5.22533022390774	5.142177978473343	5.453615675873221	5.052233039530636	5.310518081698215	4.957224105245832	5.178475416928823	5.098862094527045	5.351921150345511	5.307696696833141	5.319223539227173	5.257734425053103	5.107116968889788
CCL5	9.079589800763308	9.735956816682448	7.17457459732981	7.927191522315084	6.368293035508357	6.414581254786228	7.629049446947395	7.974703777642267	6.42576110412166	7.973250784112172	7.5551986686501795	8.137538097378892	7.711499743322118	8.01572136016836	7.345104306163147	7.030813674522346	8.17814535630794	7.00486050004708	8.259686025733522
ESRRA	8.465555766394367	8.456891103851715	8.257321887403917	8.436735435630608	8.20263265714733	8.204782399100445	8.315323021097678	8.51135295091577	8.23087860607727	8.337245688656543	8.239895706978478	8.106854508132175	8.633780312287314	8.4422537021603	8.422551796517459	8.396686661947877	8.315735547976566	8.340028473472017	8.515705489167235
CYP2A6	6.6572479839533685	7.019885668003319	6.765877739571633	7.301561368019989	7.083664319643517	7.009762325329043	7.049627792179514	6.772638936086641	6.907484517086041	6.973254564179201	7.614662957217622	7.073457231974575	7.605506722419817	7.141074628877583	7.234948803996659	9.292552442068716	7.32974876342686	7.294426419212223	6.967231157440179
SCARB1	6.055527035700026	6.687737905130856	6.39332040100877	6.735596091204083	6.769699913704965	6.696963950403574	6.686030249299256	6.576665315145638	7.053160897593594	6.42585992160347	6.6769359920019005	6.1584528926373	6.948358942589708	6.756942790062492	6.460300504867083	6.671551346878196	7.298083365597309	6.8981609861730195	6.645734593655442
TTLL12	7.964714642985959	8.362574267621339	7.999933591247304	8.024708141848379	7.809940635146111	7.748057221376298	8.066811614120123	8.32160123988557	8.128525935359068	8.219689244836548	8.143149760641993	7.508800742153622	8.362269811359507	8.409844198120215	8.048393689638123	8.233219355835722	9.133654884531694	8.259567444823656	7.97780512770232
