Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0945~Host-virus interaction	14	12.8440367	3.70E-04	"CEBPA, MCRS1, DNAJB12, TSC2, GPS2, COPS7A, RAD23A, SSRP1, PHB2, PPP2R1A, BSG, UBN1, POLR2E, EIF4G1"	74	689	11434	3.139606951	0.025943662	0.02628127	0.02628127
WIKIPATHWAYS	WP3888:VEGFA VEGFR2 signaling	12	11.00917431	2.25E-04	"STIP1, CAPZB, BSG, PRKCD, ELOA, AKT1, SH3BGRL3, CRIP2, P4HB, PFN1, ATP6V0D1, EIF4G1"	64	432	8749	3.797309028	0.066712635	0.069034362	0.069034362
REACTOME_PATHWAY	R-HSA-5696394~DNA Damage Recognition in GG-NER	5	4.587155963	1.74E-04	"INO80B, GPS1, MCRS1, COPS7A, RAD23A"	84	38	11153	17.4702381	0.127868066	0.13680269	0.134545793
GOTERM_BP_DIRECT	GO:0032091~negative regulation of protein binding	5	4.587155963	1.73E-04	"GOLGA2, PRKCD, AKT1, GTF2F1, TLE5"	103	53	19416	17.78347683	0.134309967	0.144215923	0.144215923
REACTOME_PATHWAY	R-HSA-5663205~Infectious disease	18	16.51376147	0.001035379	"PRMT1, SIGMAR1, GPS2, ENO1, SSRP1, GTF2F1, GNAI2, TKFC, MTA1, PSMC4, GNB2, MGAT4B, POLR2E, ELOA, AKT1, HMG20B, ST6GALNAC4, AP2M1"	84	1008	11153	2.370960884	0.557936424	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-5696398~Nucleotide Excision Repair	6	5.504587156	0.001289172	"INO80B, GPS1, MCRS1, POLR2E, COPS7A, RAD23A"	84	109	11153	7.308650066	0.638149199	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-167238~Pausing and recovery of Tat-mediated HIV elongation	4	3.669724771	0.00153708	"POLR2E, ELOA, SSRP1, GTF2F1"	84	31	11153	17.13210445	0.702443334	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-167243~Tat-mediated HIV elongation arrest and recovery	4	3.669724771	0.00153708	"POLR2E, ELOA, SSRP1, GTF2F1"	84	31	11153	17.13210445	0.702443334	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-9006931~Signaling by Nuclear Receptors	9	8.256880734	0.001573535	"PRMT1, NR1H2, GNB2, POLR2E, GPS2, AKT1, GTF2F1, PLTP, GNAI2"	84	296	11153	4.037041506	0.710882527	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-167290~Pausing and recovery of HIV elongation	4	3.669724771	0.00184584	"POLR2E, ELOA, SSRP1, GTF2F1"	84	33	11153	16.09379509	0.766801731	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-167287~HIV elongation arrest and recovery	4	3.669724771	0.00184584	"POLR2E, ELOA, SSRP1, GTF2F1"	84	33	11153	16.09379509	0.766801731	0.181815273	0.178815783
REACTOME_PATHWAY	R-HSA-9824446~Viral Infection Pathways	15	13.76146789	0.002632766	"PRMT1, SIGMAR1, GPS2, SSRP1, GTF2F1, TKFC, MTA1, PSMC4, MGAT4B, POLR2E, ELOA, AKT1, HMG20B, ST6GALNAC4, AP2M1"	84	817	11153	2.437707641	0.874738915	0.211755331	0.208261906
REACTOME_PATHWAY	R-HSA-1643685~Disease	25	22.93577982	0.002767921	"GPS2, ENO1, GNAI2, GOLGA2, TKFC, MTA1, CAPNS1, PPP2R1A, NEU1, BSG, POLR2E, ELOA, AKT1, HMG20B, AP2M1, PRMT1, SIGMAR1, TSC2, SSRP1, GTF2F1, PSMC4, CDC37, GNB2, MGAT4B, ST6GALNAC4"	84	1821	11153	1.822814518	0.887426118	0.211755331	0.208261906
REACTOME_PATHWAY	R-HSA-5696399~Global Genome Nucleotide Excision Repair (GG-NER)	5	4.587155963	0.003502838	"INO80B, GPS1, MCRS1, COPS7A, RAD23A"	84	84	11153	7.903202948	0.93702906	0.211755331	0.208261906
