Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05012:Parkinson disease	22	6.043956043956044	1.0149212130198693E-6	TRAP1, NDUFB11, PSMD13, ADRM1, HTRA2, ATP5F1D, TUBA4A, ATP5MC1, TXN2, PSMB6, PSMC5, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, PPIF, CALM3, UBA1, CYC1, NDUFV1, SLC39A4	205	271	8865	3.5105751057510575	2.8718160452001484E-4	2.4582688634257967E-4	2.371404239276475E-4
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	30	8.241758241758241	1.7372924829864286E-6	VCP, TOMM40, NDUFB11, PSMD13, HTRA2, ATP5MC1, PSMB6, ACTR1A, FRAT1, PSMD2, PSMD3, DVL1, CYC1, FADD, CAPN1, HRAS, NDUFV1, TRAP1, MAP2K2, ADRM1, WIPI2, ATP5F1D, TUBA4A, PSMC5, NDUFS7, NDUFS6, UQCRC1, PPIF, UBA1, CALM3	205	483	8865	2.6859566732313285	4.915333576370751E-4	2.4582688634257967E-4	2.371404239276475E-4
REACTOME_PATHWAY	R-HSA-1430728~Metabolism	84	23.076923076923077	2.5165120051864394E-6	ACADVL, MTMR12, ACY1, MTMR14, ETFB, TMEM186, TXN2, NUBP2, STK11, NSDHL, AKR7A2, PSMD2, PSMD3, IDH3B, PGLS, ACAA1, SBF1, A4GALT, BCKDHA, ELOVL1, STARD3, SEC13, PCYT1A, ACOT7, TPI1, DCXR, AKR1A1, AIP, NOSIP, GCAT, APRT, DNM2, TMEM177, SULT2B1, PLA2G15, PKM, NDUFS7, TST, NDUFS6, IVD, SDHAF1, HMBS, UQCRC1, PLIN3, ALDOA, SLC25A11, PI4K2A, CES2, GCDH, MVK, NDUFB11, SHMT2, PSMD13, AGPAT2, ATP5MC1, PSMB6, HMGCL, EBP, PRKAR2A, PMVK, HMOX1, ASL, CYC1, NDUFV1, LHPP, GSTM4, MPST, TRAP1, AOC1, SLC52A2, UROS, GSS, ADRM1, B3GALT4, ATP5F1D, CIDEC, PPP1CA, AIMP2, GRHPR, GALE, PSMC5, SLC6A8, NMT1, CALM3	266	2177	11153	1.6178226917776757	0.0028697347424957442	0.0028738567099229136	0.0026524036534665073
KEGG_PATHWAY	hsa05010:Alzheimer disease	25	6.868131868131869	1.0207788650944916E-5	NDUFB11, PSMD13, ATP5MC1, PSMB6, FRAT1, PSMD2, PSMD3, DVL1, CYC1, FADD, CAPN1, HRAS, NDUFV1, SLC39A4, MAP2K2, ADRM1, WIPI2, ATP5F1D, TUBA4A, PSMC5, NDUFS7, NDUFS6, UQCRC1, PPIF, CALM3	205	391	8865	2.764955398914603	0.0028846503101438437	9.629347294058037E-4	9.289087672359874E-4
KEGG_PATHWAY	hsa05016:Huntington disease	21	5.769230769230769	3.025321287006074E-5	NDUFB11, PSMD13, ADRM1, CLTB, WIPI2, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, CREB3, PSMC5, ACTR1A, NDUFS7, NDUFS6, PSMD2, PSMD3, AP2S1, UQCRC1, PPIF, CYC1, NDUFV1	205	311	8865	2.9200062740177235	0.008525241019403218	0.0021404148105567972	0.0020647817783816455
UP_KW_BIOLOGICAL_PROCESS	KW-0653~Protein transport	27	7.417582417582418	4.0973616456993977E-4	NAPA, TOMM40, RAB1B, MVP, STX10, PEX26, GGA1, LMAN2, CHMP1A, AP2S1, TIMM17B, AP1S1, AP3S2, ATG7, AP1M2, TNPO3, BCAP31, SEC13, VPS37C, SNF8, YIF1A, SCAMP3, RABEP2, TMEM115, CCDC22, VPS28, COPE	229	638	11434	2.1130306224418556	0.03779051501274033	0.03892493563414428	0.03523731015301482
REACTOME_PATHWAY	R-HSA-8854050~FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	7	1.9230769230769231	4.347923423789063E-4	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3, FBXL18	266	42	11153	6.988095238095238	0.3914284751910847	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-5362768~Hh mutants are degraded by ERAD	7	1.9230769230769231	4.953724827868691E-4	PSMB6, VCP, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	43	11153	6.825581395348837	0.4321259010162274	0.07737811251989687	0.07141552591591183
KEGG_PATHWAY	hsa01100:Metabolic pathways	56	15.384615384615385	5.322533784808496E-4	ACADVL, ACY1, MTMR14, NSDHL, IDH3B, PGLS, ACAA1, A4GALT, GFUS, BCKDHA, ELOVL1, ATP6V0B, PCYT1A, ACOT7, TPI1, DCXR, AKR1A1, GCAT, APRT, SULT2B1, DPM2, PKM, NDUFS7, TST, NDUFS6, IVD, HMBS, UQCRC1, ALDOA, PI4K2A, GCDH, MVK, NDUFB11, SHMT2, AGPAT2, ATP5MC1, HMGCL, EBP, GMDS, PMVK, HMOX1, ASL, CYC1, NDUFV1, GSTM4, MPST, AOC1, UROS, GSS, B3GALT4, DOLK, ATP5F1D, PAFAH2, DHRS4, GRHPR, GALE	205	1564	8865	1.5483750233921778	0.13986661798336897	0.030125541222016092	0.02906103446505439
REACTOME_PATHWAY	R-HSA-199991~Membrane Trafficking	30	8.241758241758241	5.356545985059399E-4	NAPA, RAB1B, CLTB, STX10, GGA1, ACTR1A, PPP6R1, LMAN2, AP2S1, AP1S1, STX4, SBF1, AP1M2, SEC13, VPS37C, ARPC4, SNF8, KIF22, PRKAB1, TUBA4A, DNM2, EPN2, RGP1, DYNC1LI2, TBC1D2, TMEM115, PLIN3, CALM3, VPS28, COPE	266	635	11153	1.9808773903262091	0.4576704544459086	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-4086400~PCP/CE pathway	9	2.4725274725274726	5.547211851016128E-4	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3, DVL1, AP2S1, CLTB	266	79	11153	4.776672694394213	0.4693578298001929	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-4641258~Degradation of DVL	7	1.9230769230769231	5.623256057632625E-4	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3, DVL1	266	44	11153	6.670454545454545	0.4739486594806074	0.07737811251989687	0.07141552591591183
GOTERM_BP_DIRECT	GO:0045732~positive regulation of protein catabolic process	8	2.197802197802198	5.791220122161061E-4	GGA1, VCP, EGLN2, RHBDD3, SGSM3, SNF8, ATG7, VPS28	349	80	19416	5.563323782234956	0.6112510870781076	0.5988837987753077	0.5988837987753077
KEGG_PATHWAY	hsa05020:Prion disease	17	4.670329670329671	6.658634351547974E-4	NDUFB11, PSMD13, ADRM1, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, CREB3, PSMC5, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, PPIF, CYC1, NDUFV1	205	278	8865	2.64441130022811	0.17180125023234016	0.031406558691467946	0.030296786299543285
REACTOME_PATHWAY	R-HSA-162906~HIV Infection	15	4.1208791208791204	7.086375931953477E-4	SEC13, PSMD13, TAF10, ADRM1, VPS37C, PSMB6, PSMC5, PSMD2, PSMD3, NMT1, AP2S1, AP1S1, NELFB, AP1M2, VPS28	266	218	11153	2.884993446920052	0.5549421496400224	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-5387390~Hh mutants abrogate ligand secretion	7	1.9230769230769231	7.171638725204704E-4	PSMB6, VCP, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	46	11153	6.380434782608695	0.5592577149156558	0.07737811251989687	0.07141552591591183
GOTERM_BP_DIRECT	GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	4	1.098901098901099	8.464059172662461E-4	GCDH, ACADVL, IVD, ETFB	349	11	19416	20.230268299036204	0.7486911473310336	0.5988837987753077	0.5988837987753077
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	20	5.4945054945054945	8.894810810084027E-4	VCP, SEC13, TOMM40, NDUFB11, PSMD13, ADRM1, WIPI2, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, PSMC5, ACTR1A, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, CYC1, NDUFV1	205	371	8865	2.3312076786536062	0.2226271333359403	0.03596044941791114	0.0346897621593277
REACTOME_PATHWAY	R-HSA-5678895~Defective CFTR causes cystic fibrosis	7	1.9230769230769231	9.030752210001685E-4	PSMB6, VCP, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	48	11153	6.114583333333332	0.6436271836082088	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-187577~SCF(Skp2)-mediated degradation of p27/p21	7	1.9230769230769231	0.0011240441598018083	PSMB6, CCNA1, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	50	11153	5.869999999999999	0.7231779549683173	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-1168372~Downstream signaling events of B Cell Receptor (BCR)	8	2.197802197802198	0.0013207920436340542	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3, CALM3, HRAS	266	70	11153	4.791836734693877	0.7789445041433647	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-9612973~Autophagy	12	3.296703296703297	0.0013665129668674618	VCP, DYNC1LI2, TOMM40, MTMR14, VPS37C, PLIN3, WIPI2, WDR45, ATG7, PRKAB1, VPS28, TUBA4A	266	158	11153	3.1844484629294754	0.790205131383585	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-1428517~Aerobic respiration and respiratory electron transport	16	4.395604395604396	0.001379889785678624	TRAP1, NDUFB11, ETFB, ATP5F1D, TMEM186, ATP5MC1, TMEM177, PKM, NDUFS7, NDUFS6, SDHAF1, UQCRC1, IDH3B, CYC1, SLC25A11, NDUFV1	266	260	11153	2.58021978021978	0.7933900112431154	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-5653656~Vesicle-mediated transport	30	8.241758241758241	0.0013821012986631638	NAPA, RAB1B, CLTB, STX10, GGA1, ACTR1A, PPP6R1, LMAN2, AP2S1, AP1S1, STX4, SBF1, AP1M2, SEC13, VPS37C, ARPC4, SNF8, KIF22, PRKAB1, TUBA4A, DNM2, EPN2, RGP1, DYNC1LI2, TBC1D2, TMEM115, PLIN3, CALM3, VPS28, COPE	266	674	11153	1.8662568885120812	0.7939118760694672	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-5358346~Hedgehog ligand biogenesis	7	1.9230769230769231	0.0013842550236401582	PSMB6, VCP, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	52	11153	5.644230769230769	0.7944188384360349	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-1236978~Cross-presentation of soluble exogenous antigens (endosomes)	6	1.6483516483516485	0.0015042817866427523	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	36	11153	6.988095238095238	0.8207875298124434	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-69580~p53-Dependent G1/S DNA damage checkpoint	7	1.9230769230769231	0.0015304339639859007	PSMB6, CCNA1, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	53	11153	5.537735849056603	0.8260686095425152	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-1234176~Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	7	1.9230769230769231	0.0015304339639859007	PSMB6, PSMC5, EGLN2, PSMD13, PSMD2, ADRM1, PSMD3	266	53	11153	5.537735849056603	0.8260686095425152	0.07737811251989687	0.07141552591591183
REACTOME_PATHWAY	R-HSA-69563~p53-Dependent G1 DNA Damage Response	7	1.9230769230769231	0.0015304339639859007	PSMB6, CCNA1, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	53	11153	5.537735849056603	0.8260686095425152	0.07737811251989687	0.07141552591591183
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	14	3.8461538461538463	0.0016052208161356205	NAPA, BCAP31, SEC13, RAB1B, CLTB, STX10, GGA1, MLPH, AP2S1, TIMM17B, AP1S1, STX4, AP3S2, AP1M2	349	278	19416	2.8016738471686837	0.9272130595304607	0.5988837987753077	0.5988837987753077
REACTOME_PATHWAY	R-HSA-211733~Regulation of activated PAK-2p34 by proteasome mediated degradation	6	1.6483516483516485	0.0017060742845726644	PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3	266	37	11153	6.799227799227799	0.8577260321914051	0.07737811251989687	0.07141552591591183
WIKIPATHWAYS	WP5124:Alzheimer 39 s disease	16	4.395604395604396	0.0017098661588705775	MAP2K2, PSMD13, ADRM1, WIPI2, TUBA4A, PSMB6, FRAT1, PSMC5, PSMD2, PSMD3, DVL1, PPIF, CALM3, FADD, CAPN1, HRAS	212	263	8749	2.5106535619484895	0.5464429861053837	0.47648210537956465	0.47648210537956465
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	9	2.4725274725274726	0.001774654383868059	NDUFS7, NDUFS6, NDUFB11, UQCRC1, CYC1, ETFB, NDUFV1, TXN2, CYB561D2	229	112	11434	4.012242669993762	0.1537713712668587	0.08369685811142166	0.0757676820798133
GOTERM_BP_DIRECT	GO:0051014~actin filament severing	4	1.098901098901099	0.0017941204832802315	FLII, CFL1, CAPG, VILL	349	14	19416	15.895210806385592	0.9465409126073621	0.5988837987753077	0.5988837987753077
GOTERM_BP_DIRECT	GO:0016236~macroautophagy	7	1.9230769230769231	0.0018359405235294536	VCP, MTMR14, VPS37C, HMOX1, SNF8, ATG7, VPS28	349	72	19416	5.408787010506209	0.9500718921134741	0.5988837987753077	0.5988837987753077
REACTOME_PATHWAY	R-HSA-9609507~Protein localization	12	3.296703296703297	0.0018421619926703677	PEX16, HMGCL, TOMM40, SAMM50, ECH1, TIMM17B, HMOX1, CYC1, ACAA1, ATP5MC1, DHRS4, PEX26	266	164	11153	3.0679442508710797	0.8782382608904611	0.07737811251989687	0.07141552591591183
