Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016477~cell migration	11	5.14018691588785	6.101455865534258E-4	RHBDF1, LAMA5, JUP, SDC4, LAMB3, GPC1, NDE1, SHROOM2, SDC1, MST1R, EPHA2	202	275	19416	3.844752475247525	0.5870260569187427	0.884100954915914	0.884100954915914
GOTERM_BP_DIRECT	GO:0035791~platelet-derived growth factor receptor-beta signaling pathway	5	2.336448598130841	0.002352894749577743	PTPN1, ERBB2, MST1R, FGFR3, EPHA2	202	54	19416	8.8998899889989	0.9670696880378633	1.0	1.0
WIKIPATHWAYS	WP4674:Head and neck squamous cell carcinoma	6	2.803738317757009	0.0025098242408892273	NOTCH1, CCND1, ERBB2, DDIT4, FGFR3, TP53	113	74	8749	6.277684764410428	0.5647331953631956	0.6754207590217932	0.6754207590217932
GOTERM_BP_DIRECT	GO:0006366~transcription by RNA polymerase II	9	4.205607476635514	0.0036096186644029482	NOTCH1, HDAC3, SMARCC2, CEBPD, BCL6, MBD1, POLR1B, CDK12, RPAP1	202	240	19416	3.6044554455445543	0.9946986829229153	1.0	1.0
REACTOME_PATHWAY	R-HSA-196854~Metabolism of vitamins and cofactors	9	4.205607476635514	0.0036915925471284125	ABCD4, PANK4, PARP6, ABCC1, SDC4, GPC1, SDC1, LRP10, LDLRAP1	141	200	11153	3.5594680851063827	0.9633517801010715	1.0	1.0
REACTOME_PATHWAY	R-HSA-9758890~Transport of RCbl within the body	3	1.4018691588785046	0.00416890048780865	ABCD4, ABCC1, LDLRAP1	141	8	11153	29.66223404255319	0.9761217537941159	1.0	1.0
REACTOME_PATHWAY	R-HSA-8878159~Transcriptional regulation by RUNX3	6	2.803738317757009	0.004478895994914476	NOTCH1, SMAD3, CCND1, TP53, TEAD3, RUNX1	141	86	11153	5.518555170707571	0.9819232181046297	1.0	1.0
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	8	3.7383177570093453	0.0052538595612128414	JUP, SPINT1, BCL6, FUS, PLAT, TP53, DDB2, RUNX1	96	198	8865	3.731060606060606	0.6726595237698613	0.337204494747213	0.32607038407159744
WIKIPATHWAYS	WP4263:Pancreatic adenocarcinoma pathway	6	2.803738317757009	0.005560186424905151	SMAD3, CCND1, ERBB2, PAK6, TP53, DDB2	113	89	8749	5.219648006363727	0.8420627214451715	0.6754207590217932	0.6754207590217932
GOTERM_BP_DIRECT	GO:0072659~protein localization to plasma membrane	7	3.2710280373831773	0.006114782299572953	LAMA5, TSPAN14, NHERF1, JUP, ATP1B3, ZDHHC7, EPHA2	202	158	19416	4.258428374483018	0.999861898267777	1.0	1.0
