Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	17	3.195488721804511	3.289480465125906E-6	SHC1, EXOC7, PDPK1, INSR, INPPL1, PIK3CD, TSC1, PIK3R2, ACACB, HK1, GYS1, G6PC3, FASN, MKNK2, FLOT2, PRKACA, MAPK3	266	138	8865	4.105508336057535	9.600687144846187E-4	9.605282958167646E-4	9.440808934911351E-4
REACTOME_PATHWAY	R-HSA-556833~Metabolism of lipids	48	9.022556390977442	8.241483961382926E-6	ABHD4, INPPL1, PIK3CD, GBA1, PIK3R2, PLA2G6, MED16, AGPAT1, MED15, ACACB, PLD3, PIK3R5, MED12, RXRB, SMPD4, RXRA, SIN3B, PSAP, CPNE1, SCAP, PIP4K2B, PIP5K1C, TBL1X, GGT1, CDIPT, PRKACA, MORC2, ACADS, CTSA, MBOAT7, NR1H3, MED9, SREBF2, NCOR2, RUFY1, FIG4, MED22, CARM1, FASN, JMJD7-PLA2G4B, PI4KA, PRKD2, PNPLA6, PI4KB, DHCR7, SLC27A3, SEC24C, CSNK1G2	359	755	11153	1.9751111439059936	0.010273485460633336	0.010326579403612807	0.010268889015883126
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	15	2.819548872180451	1.537156370602392E-5	PFKFB3, STRADA, PDPK1, INSR, PIK3CD, TSC1, PIK3R2, PPP2R5D, EEF2, ACACB, RAB11B, GYS1, G6PC3, FASN, RAB8A	266	122	8865	4.097590287193393	0.004478472699172453	0.0022442483010794924	0.0022058193918144324
WIKIPATHWAYS	WP3915:Angiopoietin like protein 8 regulatory pathway	16	3.007518796992481	1.6314588441449173E-5	SHC1, EXOC7, PDPK1, INSR, MINK1, PIK3CD, NR1H3, TSC1, PIK3R2, SREBF2, GYS1, RXRA, FASN, RPS6KA2, FLOT2, MAPK3	277	132	8749	3.8284651569850126	0.008496300047934224	0.008532529754877918	0.008532529754877918
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	8	1.5037593984962405	2.6576069507076484E-5	DAXX, MT2A, HSF1, MT1G, MT1H, MT1X, MT1HL1, MAPK3	503	35	19416	8.82294802612894	0.06738527866864863	0.029564879408378635	0.029373411617924373
GOTERM_BP_DIRECT	GO:0006914~autophagy	16	3.007518796992481	2.998932704689094E-5	USP13, MAP1S, SEC16A, TFEB, CLEC16A, GBA1, HDAC6, VPS51, TBC1D5, VPS11, PLEKHM1, ATG4B, DRD2, TBC1D17, TECPR2, RAB8A	503	167	19416	3.6982416875989568	0.07570423256331427	0.029564879408378635	0.029373411617924373
GOTERM_BP_DIRECT	GO:0071280~cellular response to copper ion	7	1.3157894736842104	3.378843360957558E-5	DAXX, MT2A, HSF1, MT1G, MT1H, MT1X, MT1HL1	503	25	19416	10.808111332007952	0.08487639617769094	0.029564879408378635	0.029373411617924373
WIKIPATHWAYS	WP1403:AMP activated protein kinase signaling	11	2.0676691729323307	4.196825706299775E-5	GYS1, PFKFB3, STRADA, FASN, INSR, PIK3CD, TSC1, PIK3R2, EEF2, ACACB, SLC2A4RG	277	67	8749	5.1855703432297	0.02171071382029721	0.01097469922197391	0.01097469922197391
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	55	10.338345864661653	1.348263153337738E-4	RNF10, SMARCB1, CD81, CHD8, AKAP8L, ASH2L, PKD1, MED12, KAT5, ZMIZ2, HYAL2, CDK5RAP3, PELP1, MEN1, PTOV1, TFEB, MED9, MRTFA, ACTN4, SREBF2, RNF40, TNFRSF1A, HCFC1, PRPF6, RARA, HCLS1, PRKD2, WBP2, PIK3R2, RXRB, RXRA, ZNF629, DDRGK1, HSF1, DVL2, ZBED1, TBL1X, DRD2, BRD4, MAPK3, MLXIP, WWOX, ZBTB17, POU2F1, AP3D1, NR1H3, WWP2, TBX6, SUPT5H, SMARCA4, ASXL1, PINK1, PAF1, AGRN, ZNF212	503	1246	19416	1.7038698786414737	0.29808498160283414	0.07685201759643139	0.07635430929199735
UP_KW_BIOLOGICAL_PROCESS	KW-0945~Host-virus interaction	39	7.330827067669173	1.5463136060778595E-4	CUL7, SMARCB1, CD151, ITGB5, SHC1, CD81, USP11, AKAP8L, UBR4, CHD3, SUPT6H, NXF1, RXRA, RNF216, KAT5, POLR2A, GNA11, HSF1, DAG1, ZBED1, CDK5RAP3, MAPK3, BRD4, NUP214, DAXX, GBF1, SGTA, WWP2, RNF40, PDIA4, TNFRSF1A, HCFC1, DDB1, PACS2, CARM1, PI4KB, ATP6V0C, NOP53, NECTIN1	340	689	11434	1.9035516093229743	0.013668974671068757	0.013916822454700734	0.01298903429105402
KEGG_PATHWAY	hsa04140:Autophagy - animal	16	3.007518796992481	1.5671253158817337E-4	PDPK1, DAPK3, PIK3CD, TSC1, PIK3R2, ATG13, RRAGC, VPS11, PLEKHM1, ATG4B, PRKACA, CTSD, RAB8A, CTSB, VPS16, MAPK3	266	169	8865	3.1552253414601594	0.044732282365590015	0.015253353074582207	0.014992165521935254
REACTOME_PATHWAY	R-HSA-1483257~Phospholipid metabolism	19	3.571428571428571	1.6185508638650898E-4	ABHD4, MBOAT7, INPPL1, PIK3CD, PIK3R2, PLA2G6, AGPAT1, PLD3, PIK3R5, RUFY1, FIG4, JMJD7-PLA2G4B, CPNE1, PI4KA, PIP4K2B, PIP5K1C, PI4KB, PNPLA6, CDIPT	359	212	11153	2.784293372575813	0.18357549900366332	0.10140221162114788	0.10083571881879509
GOTERM_BP_DIRECT	GO:0034243~regulation of transcription elongation by RNA polymerase II	6	1.1278195488721803	1.6353666795405384E-4	INTS11, INTS1, INTS3, INTS5, INTS9, SUPT5H	503	21	19416	11.028685032661176	0.34904766594007364	0.07685201759643139	0.07635430929199735
GOTERM_BP_DIRECT	GO:0015031~protein transport	27	5.075187969924812	1.7566175450612888E-4	GDI1, STXBP2, RRBP1, PIK3R2, NXF1, VPS51, VPS52, DAG1, TOM1, ERC1, TBC1D17, AP5S1, EXOC7, ATP13A1, PRAF2, SEC16A, GBF1, CTNS, ACTN4, ARFGAP2, RUFY1, TBC1D5, HGS, RAB35, PLEKHM1, EXOC3, ATG4B	503	460	19416	2.265675512144524	0.36944355929139194	0.07685201759643139	0.07635430929199735
